id,nom_electeur,prenom_electeur,dateNaissance,lieuNaissance,numCIN,adresse,profession,email,image,numTel,id_fokontany
33,Anjaramendrika,Sehenosoa,1972-05-23,Morondava,101245876162,Ambositra,inspecteur du permis de conduire et de la sécurité routière,anjaramendrika.sehenosoa436@gmail.com,,0328905331,10
34,Anjaranirina,Sendra,1984-03-18,Antalaha,101245876163,Toamasina,chef des ventes,anjaranirina.sendra739@gmail.com,,0336405117,14
35,Anjarasoa,Seta,1984-12-09,Ambohimahasoa,101245876164,Ambohimahasoa,horticulteur,anjarasoa.seta162@gmail.com,,0334689651,18
36,Anjatiana,Setra,1963-01-27,Farafangana,101245876165,Farafangana,tapissier d'ameublement,anjatiana.setra706@gmail.com,,0342492078,39
37,Anjavidy,Silo,1970-11-23,Manakara,101245876166,Antsirabe,technicien plasturgiste,anjavidy.silo791@gmail.com,,0324866983,60
38,Anjomara,Sinasoa,1944-04-11,Fianarantsoa,101245876167,Ambositra,responsable de site de traitement des déchets,anjomara.sinasoa446@gmail.com,,0346333311,20
39,Anoka,Sitraka,1957-11-07,Nosy Be,101245876168,Ambositra,opérateur de raffinerie,anoka.sitraka853@gmail.com,,0326703905,37
40,Antenaina,Soa,1967-11-17,Ambatondrazaka,101245876169,Manakara,chef monteur monteuse,antenaina.soa991@gmail.com,,0339595897,17
41,Antra,Soafinaritra,1997-06-22,Ambatondrazaka,101245876170,Antsiranana,ingénieur d'affaires en génie électrique,antra.soafinaritra754@gmail.com,,0342554759,10
42,Antsa,Soafaniry,1971-04-20,Morondava,101245876171,Morondava,secrétaire de rédaction,antsa.soafaniry586@gmail.com,,0344302299,10
43,Antsaly,Soafara,1964-06-13,Mahajanga,101245876172,Antananarivo,technicien de maintenance en génie climatique,antsaly.soafara90@gmail.com,,0327766814,49
44,Antsanala,Soamaraina,1978-09-11,Nosy Be,101245876173,Antsirabe,architecte,antsanala.soamaraina702@gmail.com,,0345632414,45
45,Antsiva,Soamazava,1965-09-25,Manakara,101245876174,Sambava,agent de transit,antsiva.soamazava417@gmail.com,,0324046935,7
46,Antso,Soamiangaly,1977-06-29,Farafangana,101245876175,Antalaha,ingénieur en production et expérimentations végétales,antso.soamiangaly688@gmail.com,,0327103550,26
47,Antson'nyavo,Soamiely,1970-12-31,Antsiranana,101245876176,Ambositra,artiste de cirque,antson'nyavo.soamiely759@gmail.com,,0347255675,48
48,Arianala,Soanala,1963-04-11,Farafangana,101245876177,Toamasina,professeur de collège et de lycée,arianala.soanala248@gmail.com,,0348684034,21
49,Arifanja,Soananahary,1977-05-21,Antsirabe,101245876178,Fianarantsoa,conseiller en séjour,arifanja.soananahary352@gmail.com,,0325545212,10
50,Dadavy,Soanavalona,2002-07-03,Toamasina,101245876179,Toliara,ingénieur en fonderie,dadavy.soanavalona564@gmail.com,,0337903749,12
51,Dafy,Soandriaka,1997-01-03,Manakara,101245876180,Morondava,chef d'exploitation des remontées mécaniques,dafy.soandriaka112@gmail.com,,0335599418,60
52,Dama,Soaniriko,1970-08-11,Sambava,101245876181,Antsirabe,chauffeur de taxi,dama.soaniriko844@gmail.com,,0335655895,43
53,Dany,Soanja,1968-02-15,Toamasina,101245876182,Sambava,écrivain,dany.soanja303@gmail.com,,0326808832,25
54,Dera,Soanomena,1970-04-26,Ambohimahasoa,101245876183,Nosy Be,éducateur canin canine,dera.soanomena514@gmail.com,,0344498012,10
55,Detsy,Soarimanga,1992-11-13,Nosy Be,101245876184,Toliara,puériculteur,detsy.soarimanga789@gmail.com,,0323286914,39
56,Dialy,Soarindra,1988-12-01,Ambohimahasoa,101245876185,Morondava,hôtesse de l'air,dialy.soarindra905@gmail.com,,0344828142,16
57,Diamondra,Soary,1964-05-29,Toamasina,101245876186,Fianarantsoa,chaudronnier,diamondra.soary873@gmail.com,,0348989134,14
58,Diary,Soatia,2003-11-27,Toamasina,101245876187,Ambatondrazaka,miroitier,diary.soatia956@gmail.com,,0336596084,40
59,Diavolana,Soatiana,1946-12-07,Morondava,101245876188,Manakara,électromécanicien,diavolana.soatiana781@gmail.com,,0335895523,21
60,Diera,Soja,1940-12-21,Antalaha,101245876189,Antananarivo,carreleur,diera.soja327@gmail.com,,0346434835,41
61,Dimbinandrianina,Solo,1955-05-12,Antalaha,101245876190,Antsirabe,régisseur de spectacles,dimbinandrianina.solo662@gmail.com,,0337627521,59
62,Dimbinirina,Solofo,1956-05-01,Toamasina,101245876191,Antsirabe,technicien de contrôle,dimbinirina.solofo998@gmail.com,,0343613516,42
63,Dimbisoa,Solofoarivelo,1992-01-06,Antalaha,101245876192,Sambava,responsable de formation,dimbisoa.solofoarivelo874@gmail.com,,0343133198,31
64,Dimby,Solofohery,1943-03-16,Toliara,101245876193,Mahajanga,ingénieur de recherche clinique et épidémiologique,dimby.solofohery438@gmail.com,,0325472181,55
65,Dina,Solohery,1986-07-01,Antsiranana,101245876194,Antalaha,responsable de formation,dina.solohery59@gmail.com,,0334150303,8
66,Dinasoa,Solonomenjanahary,1998-04-05,Manakara,101245876195,Ambohimahasoa,officier de police,dinasoa.solonomenjanahary807@gmail.com,,0334819761,39
67,Dithy,Solotiana,1968-10-10,Antsiranana,101245876196,Fianarantsoa,pharmacien,dithy.solotiana471@gmail.com,,0344818792,58
68,Doda,Soly,1936-02-14,Toamasina,101245876197,Morondava,technicien de contrôle,doda.soly822@gmail.com,,0345152384,2
69,Domoina,Tafika,1950-02-24,Farafangana,101245876198,Antsiranana,technicien de forge,domoina.tafika903@gmail.com,,0325984537,47
70,Donga,Tafita,1970-11-15,Toamasina,101245876199,Morondava,secrétaire des affaires étrangères,donga.tafita150@gmail.com,,0339115063,16
71,Doria,Tafitasoa,1980-11-09,Antsiranana,101245876200,Mahajanga,cartographe,doria.tafitasoa341@gmail.com,,0344401435,59
72,Fahafahana,Tahadray,1974-07-03,Fianarantsoa,101245876201,Toliara,ingénieur réservoir,fahafahana.tahadray321@gmail.com,,0321064282,51
73,Fahasambarana,Tahiana,1956-02-01,Farafangana,101245876202,Morondava,inspecteur du permis de conduire et de la sécurité routière,fahasambarana.tahiana654@gmail.com,,0336910234,59
74,Faliarivo,Tahina,1935-01-01,Farafangana,101245876203,Toliara,veilleur stratégique,faliarivo.tahina232@gmail.com,,0339224145,31
75,Falihery,Tahiry,1970-05-29,Antalaha,101245876204,Sambava,monteur en installations thermiques et climatiques,falihery.tahiry932@gmail.com,,0321652012,56
76,Falimampionona,Takalo,1958-11-15,Sambava,101245876205,Manakara,mécanicien et technicien,falimampionona.takalo65@gmail.com,,0339444321,36
77,Falinirina,Talenta,1949-01-15,Antalaha,101245876206,Toamasina,rédacteur territorial territoriale,falinirina.talenta434@gmail.com,,0322879051,15
78,Falisoa,Tambatra,1975-03-06,Antananarivo,101245876207,Antsiranana,secrétaire d'édition,falisoa.tambatra694@gmail.com,,0338785391,23
79,Faly,Tambinirina,2003-08-27,Manakara,101245876208,Toamasina,responsable de site de traitement des déchets,faly.tambinirina396@gmail.com,,0345972448,29
80,Famantanantsoa,Tamby,1961-08-18,Ambatondrazaka,101245876209,Antsiranana,chef de projet communication digitale,famantanantsoa.tamby927@gmail.com,,0338886363,23
81,Famenontsoa,Tamisoa,1985-06-13,Antsirabe,101245876210,Ambohimahasoa,chef de station de traitement des eaux,famenontsoa.tamisoa899@gmail.com,,0337892105,13
82,Fanaiky,Tandray,2006-09-28,Antsirabe,101245876211,Antsiranana,BIM manager,fanaiky.tandray277@gmail.com,,0342797919,52
83,Fanaina,Tanjona,1978-09-04,Farafangana,101245876212,Antsirabe,metteur en scène,fanaina.tanjona581@gmail.com,,0332955104,54
84,Fanaja,Tanteraka,1937-03-18,Ambatondrazaka,101245876213,Ambositra,cartographe,fanaja.tanteraka693@gmail.com,,0347079663,33
85,Fanambinantsoa,Taramasoandro,1983-12-17,Antsirabe,101245876214,Antsirabe,expert-comptable,fanambinantsoa.taramasoandro169@gmail.com,,0332735672,57
86,Fanamby,Taratra,1967-02-24,Antalaha,101245876215,Antsirabe,architecte des systèmes d'information,fanamby.taratra96@gmail.com,,0348807514,11
87,Fanantenana,Tarika,1967-05-05,Toamasina,101245876216,Toliara,professeur de collège et de lycée,fanantenana.tarika96@gmail.com,,0327054094,49
88,Fanantenanirainy,Tatamo,1945-04-12,Sambava,101245876217,Antsirabe,auditeur qualité,fanantenanirainy.tatamo393@gmail.com,,0342914228,27
89,Fanasina,Tefiniaina,2000-09-13,Antsirabe,101245876218,Ambohimahasoa,assistant de gestion en PME,fanasina.tefiniaina928@gmail.com,,0343001803,30
90,Fandresena,Tefy,2007-01-22,Ambositra,101245876219,Ambositra,chargé de pharmacovigilance,fandresena.tefy442@gmail.com,,0346460797,58
91,Faneva,Telina,1952-01-13,Toliara,101245876220,Ambohimahasoa,statisticien,faneva.telina744@gmail.com,,0333543126,55
92,Fanihy,Tendry,1999-03-31,Nosy Be,101245876221,Antalaha,parfumeur,fanihy.tendry264@gmail.com,,0342535493,25
93,Fanilo,Tenompitia,1957-01-12,Nosy Be,101245876222,Ambohimahasoa,directeur d'hôtel,fanilo.tenompitia444@gmail.com,,0341488346,32
94,Fanilonay,Teza,2006-05-17,Mahajanga,101245876223,Farafangana,responsable de réseau eau potable,fanilonay.teza147@gmail.com,,0322186313,32
95,Fanirina,Tia,1992-02-24,Morondava,101245876224,Mahajanga,conseiller en insertion sociale et professionnelle,fanirina.tia20@gmail.com,,0328383141,52
96,Fanirintsoa,Tiafina,1961-12-08,Nosy Be,101245876225,Nosy Be,testeur,fanirintsoa.tiafina367@gmail.com,,0328928509,27
97,Fanirisoa,Tya,1976-12-25,Antsiranana,101245876226,Manakara,ingénieur en mécanique,fanirisoa.tya209@gmail.com,,0339004929,4
98,Faniry,Tiahy,1985-05-19,Antsiranana,101245876227,Antalaha,ingénieur système,faniry.tiahy784@gmail.com,,0326287747,13
99,Fanja,Tiaina,2004-12-31,Antalaha,101245876228,Sambava,inspecteur de banque,fanja.tiaina443@gmail.com,,0341521822,12
100,Fanjaniaina,Tiana,1951-01-11,Antalaha,101245876229,Antsirabe,critique d'art,fanjaniaina.tiana395@gmail.com,,0322268301,38
101,Fanjatiana,Tianamalala,1965-02-20,Toamasina,101245876230,Toamasina,archéologue,fanjatiana.tianamalala839@gmail.com,,0341337547,55
102,Fano,Tiary,1980-07-28,Antsirabe,101245876231,Ambositra,agent artistique,fano.tiary751@gmail.com,,0337487458,27
103,Fanoela,Tiavina,1965-11-17,Toamasina,101245876232,Morondava,relieur-doreur,fanoela.tiavina59@gmail.com,,0348631293,31
104,Fanoha,Tina,1964-07-13,Ambohimahasoa,101245876233,Antsirabe,acheteur d'espaces publicitaires,fanoha.tina325@gmail.com,,0323203674,6
105,Fanomezana,Tinasoa,1944-03-22,Sambava,101245876234,Ambohimahasoa,technicien thermicien thermicienne,fanomezana.tinasoa534@gmail.com,,0321655179,2
106,Fanomezantsoa,Tinda,1942-07-28,Ambohimahasoa,101245876235,Nosy Be,consultant en systèmes d'information,fanomezantsoa.tinda110@gmail.com,,0338408410,22
107,Fanorenana,Toandro,1943-09-25,Morondava,101245876236,Manakara,agent de transit,fanorenana.toandro201@gmail.com,,0326195129,47
108,Fanova,Toavina,1979-07-13,Ambositra,101245876237,Antsiranana,assistant dentaire,fanova.toavina695@gmail.com,,0328118164,7
109,Fara,Todisoa,2004-07-14,Sambava,101245876238,Ambositra,contrôleur technique automobile,fara.todisoa612@gmail.com,,0338348157,53
110,Faramalalako,Todizara,1972-06-17,Fianarantsoa,101245876239,Sambava,tailleur-couturier,faramalalako.todizara360@gmail.com,,0337504544,19
111,Faranirina,Tody,2000-08-16,Antsirabe,101245876240,Manakara,conseiller en économie sociale et familiale,faranirina.tody695@gmail.com,,0343696290,13
112,Farasoa,Tojo,1952-07-26,Antsirabe,101245876241,Antalaha,vendeur conseil caviste,farasoa.tojo647@gmail.com,,0324851311,3
113,Faratiana,Tojohafaliana,1998-11-21,Toamasina,101245876242,Farafangana,correcteur,faratiana.tojohafaliana731@gmail.com,,0335177514,19
114,Fatratra,Tojohasina,1998-12-06,Ambohimahasoa,101245876243,Nosy Be,"ingénieur fluides, énergies, réseaux, environnement",fatratra.tojohasina141@gmail.com,,0332618839,20
115,Fehinjo,Tojohery,1960-06-22,Antalaha,101245876244,Antsirabe,bibliothécaire,fehinjo.tojohery122@gmail.com,,0326158446,30
116,Fehizoro,Tojolafatra,1947-10-02,Mahajanga,101245876245,Manakara,staffeur-ornemaniste,fehizoro.tojolafatra397@gmail.com,,0323631768,6
117,Felamanitra,Tojomanana,1993-03-23,Antsirabe,101245876246,Fianarantsoa,horloger,felamanitra.tojomanana895@gmail.com,,0348546138,25
118,Felana,Tojoniaina,1992-03-17,Antsiranana,101245876247,Ambositra,ingénieur gaz,felana.tojoniaina750@gmail.com,,0328808068,5
119,Felantsoa,Tojonirina,1998-02-13,Mahajanga,101245876248,Ambositra,verrier au chalumeau,felantsoa.tojonirina730@gmail.com,,0322296791,9
120,Fenitra,Tojosoa,1941-12-06,Morondava,101245876249,Ambohimahasoa,technicien chimiste,fenitra.tojosoa186@gmail.com,,0332947395,3
121,Feno,Tokiharimanitra,1947-12-15,Farafangana,101245876250,Antsiranana,architecte réseaux,feno.tokiharimanitra898@gmail.com,,0322127898,22
122,Fenodera,Tokiniaina,1989-05-10,Manakara,101245876251,Manakara,vendeur-magasinier en fournitures automobiles,fenodera.tokiniaina847@gmail.com,,0321824869,50
123,Fenoery,Toky,1980-09-26,Manakara,101245876252,Nosy Be,canalisateur,fenoery.toky699@gmail.com,,0342833743,15
124,Fenohanitra,Tolojanahary,1968-05-26,Nosy Be,101245876253,Ambatondrazaka,conducteur d'engins de travaux publics,fenohanitra.tolojanahary232@gmail.com,,0322202838,4
125,Fenohasina,Tolojaona,1960-06-12,Antalaha,101245876254,Antananarivo,opérateur sur machine à commande numérique,fenohasina.tolojaona36@gmail.com,,0346749472,11
126,Fenohery,Tolotra,1995-08-13,Ambohimahasoa,101245876255,Morondava,chef de projet packaging,fenohery.tolotra869@gmail.com,,0332294548,7
127,Fenomanantsoa,Tolotriniavo,1991-12-23,Toliara,101245876256,Toliara,commissaire-priseur,fenomanantsoa.tolotriniavo573@gmail.com,,0347099025,22
128,Fenosoa,Tomefisoa,1972-06-20,Ambositra,101245876257,Toamasina,juriste d'entreprise,fenosoa.tomefisoa121@gmail.com,,0325610814,21
129,Fenotiana,Tompoina,1968-07-22,Mahajanga,101245876258,Antsirabe,assistant réalisateur réalisatrice,fenotiana.tompoina525@gmail.com,,0326405477,45
130,Fetinaty,Tongasoa,1994-11-14,Nosy Be,101245876259,Nosy Be,patron pêcheur,fetinaty.tongasoa567@gmail.com,,0339589326,40
131,Fetra,Tonihasina,1947-11-20,Antananarivo,101245876260,Ambohimahasoa,animateur du patrimoine,fetra.tonihasina548@gmail.com,,0327984523,48
132,Fetraniaina,Tony,1936-07-26,Morondava,101245876261,Toamasina,batelier,fetraniaina.tony652@gmail.com,,0348322167,53
133,Fety,Tosy,1966-09-24,Manakara,101245876262,Antananarivo,chercheur en chimie,fety.tosy576@gmail.com,,0335792396,33
134,Fiadanantsoa,Tovo,1989-11-14,Antsirabe,101245876263,Manakara,maître d'hôtel,fiadanantsoa.tovo702@gmail.com,,0346628161,58
135,Fialy,Tovohery,2000-01-27,Ambatondrazaka,101245876264,Ambatondrazaka,conseiller en voyages,fialy.tovohery617@gmail.com,,0327269292,30
136,Fiambe,Tovojanahary,1989-02-20,Mahajanga,101245876265,Antananarivo,architecte naval,fiambe.tovojanahary427@gmail.com,,0348643172,13
137,Fianarantsoa,Tovojay,1956-12-19,Toamasina,101245876266,Antananarivo,ingénieur d'affaires en génie électrique,fianarantsoa.tovojay165@gmail.com,,0343638879,12
138,Fiandry,Tovony,1934-11-08,Sambava,101245876267,Fianarantsoa,ingénieur en automatismes,fiandry.tovony957@gmail.com,,0343549672,1
139,Fiaro,Trema,1970-08-27,Antananarivo,101245876268,Toamasina,installateur en télécoms,fiaro.trema37@gmail.com,,0342307044,24
140,Fiary,Trimo,1973-05-19,Morondava,101245876269,Fianarantsoa,ingénieur papetier papetière,fiary.trimo85@gmail.com,,0324618607,51
141,Fiderana,Tsaina,2000-10-17,Fianarantsoa,101245876270,Antsiranana,chef de projet informatique,fiderana.tsaina136@gmail.com,,0322857245,54
142,Fidihasina,Tsakoraiky,1960-05-27,Antalaha,101245876271,Morondava,entraîneur de chevaux,fidihasina.tsakoraiky349@gmail.com,,0336139221,29
143,Fidimalala,Tsalama,1964-03-09,Sambava,101245876272,Ambositra,architecte des systèmes d'information,fidimalala.tsalama902@gmail.com,,0338715052,7
144,Fidinirina,Tsangy,1942-11-09,Sambava,101245876273,Antsiranana,éducateur de jeunes enfants,fidinirina.tsangy163@gmail.com,,0345139462,57
145,Fidisoa,Tsanta,1977-03-29,Toamasina,101245876274,Toliara,architecte d'intérieur,fidisoa.tsanta805@gmail.com,,0344802678,35
146,Fidy,Tsaraleha,1941-05-20,Toamasina,101245876275,Sambava,pâtissier,fidy.tsaraleha787@gmail.com,,0322007029,46
147,Fifaliana,Tsaramandresy,1999-06-14,Manakara,101245876276,Mahajanga,monteur-câbleur,fifaliana.tsaramandresy990@gmail.com,,0343133908,38
148,Fiharo,Tsarasata,2006-11-05,Toliara,101245876277,Ambohimahasoa,chef de projet web/mobile,fiharo.tsarasata711@gmail.com,,0334958239,44
149,Fikasana,Tsaratamby,1942-04-20,Morondava,101245876278,Manakara,mécanicien marine navigant,fikasana.tsaratamby660@gmail.com,,0343385005,50
150,Filamatra,Tsarona,1945-06-18,Sambava,101245876279,Mahajanga,comédien,filamatra.tsarona238@gmail.com,,0339032101,5
151,Finaritra,Tsihievy,1943-11-20,Antsiranana,101245876280,Ambatondrazaka,responsable de fabrication en chimie,finaritra.tsihievy765@gmail.com,,0324028043,19
152,Finiavana,Tsiadiana,1943-10-23,Antalaha,101245876281,Farafangana,technicien d'analyses biomédicales,finiavana.tsiadiana462@gmail.com,,0332947056,18
153,Finidy,Tsiafoy,1966-07-28,Fianarantsoa,101245876282,Antalaha,ingénieur environnement,finidy.tsiafoy305@gmail.com,,0331963308,17
154,Finihavana,Tsialainkery,1950-11-16,Toamasina,101245876283,Fianarantsoa,professeur de musique et de danse,finihavana.tsialainkery455@gmail.com,,0338550672,4
155,Finoana,Tsiaro,1968-01-26,Morondava,101245876284,Fianarantsoa,psychanalyste,finoana.tsiaro274@gmail.com,,0344054129,44
156,Firary,Tsidy,1939-12-20,Ambatondrazaka,101245876285,Manakara,roboticien,firary.tsidy555@gmail.com,,0338086680,42
157,Fitahiana,Tsiferana,1945-09-19,Nosy Be,101245876286,Toliara,ingénieur métallurgiste,fitahiana.tsiferana285@gmail.com,,0341170257,45
158,Fitahina,Tsifoy,2005-09-16,Manakara,101245876287,Toliara,formateur d'adultes,fitahina.tsifoy484@gmail.com,,0321968774,9
159,Fitahintsoa,Tsihala,1970-01-18,Farafangana,101245876288,Antalaha,conducteur de machines à papier,fitahintsoa.tsihala166@gmail.com,,0329912945,26
160,Fitia,Tsihoarana,1977-04-27,Toliara,101245876289,Mahajanga,convoyeur de fonds,fitia.tsihoarana481@gmail.com,,0342553731,57
161,Fitiavana,Tsikiaina,1970-09-16,Antsiranana,101245876290,Sambava,ingénieur en fonderie,fitiavana.tsikiaina790@gmail.com,,0328745404,15
162,Fitiana,Tsilavina,1952-05-15,Antsiranana,101245876291,Antsirabe,technicien automobile,fitiana.tsilavina154@gmail.com,,0325281791,50
163,Fitiantsoa,Tsilavo,1975-05-22,Ambohimahasoa,101245876292,Mahajanga,journaliste,fitiantsoa.tsilavo775@gmail.com,,0324589115,38
164,Fototsoa,Tsilavohery,1977-08-04,Antananarivo,101245876293,Farafangana,éducateur spécialisé spécialisée,fototsoa.tsilavohery209@gmail.com,,0336336315,6
165,Fy,Tsima,1944-06-07,Mahajanga,101245876294,Morondava,adjoint administratif administrative,fy.tsima569@gmail.com,,0344117534,47
166,Fy-Tsiky,Tsimba,1996-12-06,Morondava,101245876295,Ambositra,réceptionniste,fy-tsiky.tsimba299@gmail.com,,0326034287,20
167,Rabary,Tsimiamboho,1948-03-02,Toliara,101245876296,Mahajanga,assistant en études de prix,rabary.tsimiamboho145@gmail.com,,0331496925,34
168,Rabasta,[[TsingoryleDanseur|Tsingory]],1963-07-27,Antalaha,101245876297,Antananarivo,mécanicien d'entretien d'avion,rabasta.[[tsingoryledanseur|tsingory]]611@gmail.com,,0329753336,17
169,Rabe,Tsinjo,1970-08-27,Morondava,101245876298,Mahajanga,chargé de veille législative et réglementaire,rabe.tsinjo247@gmail.com,,0349550675,56
170,Rabozaka,Tsioritsoa,1982-01-22,Toamasina,101245876299,Morondava,assistant de gestion en PME,rabozaka.tsioritsoa348@gmail.com,,0332745483,49
171,Rado,Tsiory,1967-10-22,Manakara,101245876300,Ambositra,ingénieur analyste de l'air,rado.tsiory656@gmail.com,,0346463257,31
172,Radonandrasana,Tsirava,1973-05-06,Ambohimahasoa,101245876301,Toliara,chef de projet web/mobile,radonandrasana.tsirava843@gmail.com,,0323674042,33
173,Radonirina,Tsiresy,1994-03-13,Farafangana,101245876302,Mahajanga,ouvrier agricole,radonirina.tsiresy702@gmail.com,,0333041431,30
174,Radoniaina,Tsiriarivelo,1975-09-25,Antalaha,101245876303,Morondava,responsable des ressources humaines,radoniaina.tsiriarivelo678@gmail.com,,0338512756,36
175,Radosoa,Tsirihanitra,2006-07-19,Toamasina,101245876304,Fianarantsoa,actuaire,radosoa.tsirihanitra702@gmail.com,,0342447625,11
176,Raitra,Tsiriry,1975-04-22,Manakara,101245876305,Ambositra,styliste,raitra.tsiriry855@gmail.com,,0346378426,59
177,Raivo,Tsiry,1948-08-28,Toamasina,101245876306,Ambatondrazaka,chargé des relations publiques,raivo.tsiry601@gmail.com,,0342111085,53
178,Raivosoa,Tsitoaniaina,1970-07-21,Manakara,101245876307,Nosy Be,chargé d'affaires en génie climatique,raivosoa.tsitoaniaina109@gmail.com,,0343592635,37
179,Rajaona,Tsitohae,1949-02-15,Antsiranana,101245876308,Manakara,économiste de la construction,rajaona.tsitohae159@gmail.com,,0349804180,15
180,Rajery,Tsitohaina,1955-09-19,Antsiranana,101245876309,Ambositra,directeur des services pénitentiaires,rajery.tsitohaina277@gmail.com,,0322226593,42
181,Rajo,Tsitohatsy,1972-11-27,Ambohimahasoa,101245876310,Ambohimahasoa,responsable de rémunération,rajo.tsitohatsy532@gmail.com,,0321417695,33
182,Raja,Tsivery,1963-03-24,Fianarantsoa,101245876311,Nosy Be,traducteur technique,raja.tsivery73@gmail.com,,0335411863,29
183,Rakoto,Tsizaraina,1981-03-23,Nosy Be,101245876312,Manakara,conducteur routier routière,rakoto.tsizaraina394@gmail.com,,0329766177,26
184,Rakotoniaina,Tsirota,1970-06-27,Manakara,101245876313,Antsiranana,mécanicien bateaux,rakotoniaina.tsirota719@gmail.com,,0325460668,54
185,Rakotoson,Tsoa,2001-01-18,Manakara,101245876314,Ambositra,danseur,rakotoson.tsoa776@gmail.com,,0346984580,34
